"ID","Plot_ID","Species","Flag"
204,"4H80","VISE3",
205,"4H80","CLSI2",
206,"4H80","DISM2",
207,"4H80","DRAR3",
208,"4H80","OSBE",
209,"4H80","GATR3",
210,"4H80","PISI",
211,"C1","POMU",
212,"C1","VAOV2",
213,"C1","GASH",
214,"C1","VISE3",
215,"C1","RUSP",
216,"C1","BLSP",
217,"C1","CLSI2",
218,"C1","PTAQP2",
219,"C1","SESE3",
220,"C1","PSMEM",
221,"C1","PISI",
222,"C1","ALRU2",
223,"C2","IRDO",
224,"C2","POMU",
225,"C2","GASH",
226,"C2","TRLA6",
227,"C2","RUSP",
228,"C2","STAJR",
229,"C2","CLSI2",
230,"C2","VISE3",
231,"C2","SESE3",
232,"C2","PSMEM",
233,"C2","PISI",
234,"C2","ALRU2",
235,"C2","GATR3",
236,"C2","ILAQ","OTH"
237,"C3","SESE3",
238,"C3","ALRU2",
239,"C3","PSMEM",
240,"C3","PISI",
241,"C3","PTAQP2",
242,"C3","GATR3",
243,"C3","BENE2",
244,"C3","DRAR3",
245,"C3","VAOV2",
246,"C3","RUSP",
247,"C3","CLSI2",
248,"C3","VISE3",
249,"C4","POMU",
250,"C4","PSMEM",
251,"C4","SESE3",
252,"C4","RUSP",
253,"C4","BENE2",
254,"C4","PISI",
255,"C4","VISE3",
256,"C4","HIAL2",
257,"C4","GATR3",
258,"C4","VAOV2",
259,"C4","GASH",
260,"C4","DRAR3",
261,"C4","BLSP",
262,"C4","ANDE3",
263,"C4","GOOB2",
264,"Spare1","PSMEM",
265,"Spare1","ALRU2",
266,"Spare1","POMU",
267,"Spare1","PISI",
268,"Spare1","SESE3",
269,"Spare1","GASH",
270,"Spare1","CLSI2",
271,"Spare1","RUSP",
272,"Spare1","PTAQP2",
273,"Spare1","GRASS",
274,"Spare1","VAOV2",
275,"Spare1","GATR3",
276,"Spare1","DISM2",
